match_id,attendance,rail_passengers,rail_minutes,shuttle_passengers,shuttle_minutes,rideshare_passengers,rideshare_minutes,american_dream_pedestrian_count
7,80000,21695,60,16013,150,6006,240,53000
17,78401,26221,70,12000,150,8300,240,42000
41,72777,25946,60,12000,120,10800,180,42000
56,80663,20857,60,12000,150,12950,180,56000
67,80663,26009,60,17166,120,8500,150,50000
77,73115,22816,60,17877,135,8500,150,45000
91,74273,22258,60,18000,150,11100,150,46000
104,80663,21024,60,11168,120,16200,180,65000
